id	FAS	BCL6	CASP1	CD36	DDC	FABP4	IL10	NR4A2	ABCB1	PPARA	PPARD	PPARG	SHBG	NR1H4	LPAR6	PARK7	Type
Train.GSE164760_GSM5018332_Treat	4.91786406538858	5.4985871791393	6.66862384977573	6.36847702264729	6.70604381675541	5.08453482585404	3.43991016620268	4.98655632454701	6.08828243636695	6.56466694096612	4.32825190282862	5.48553142922038	7.38760102698591	8.92724130286785	4.64210756263965	9.00049293795794	1
Train.GSE164760_GSM5018333_Treat	6.1466346292115	4.5335252432325	7.25524584410338	5.7532111449783	7.11943480463443	6.7681444087755	3.86806142766973	3.81158338275307	5.31464054247805	5.90571433922127	4.38250561853124	5.18121280090772	6.02117465373966	7.30926417868707	5.83117838538244	9.41263607793647	1
Train.GSE164760_GSM5018334_Treat	5.80318296771586	4.91623030073543	6.48739510695932	5.57217216662657	6.85040075966733	4.14179477483869	3.62784657992279	5.32512180460883	5.37080871803622	6.76203769725992	4.42508010803824	4.5909013442374	7.70812188461822	8.02759249064695	4.90324348341622	8.42227765754942	1
Train.GSE164760_GSM5018335_Treat	4.7653888902875	5.00918996568767	7.74208688282305	5.59962601697074	5.73086955638908	4.58484769511694	5.98972747400277	5.88393191236902	6.00915340710717	6.68258065429642	4.18538150669385	4.28514715976981	9.65611226052246	4.38703409180838	4.87626454058432	8.969478814892	1
Train.GSE164760_GSM5018336_Treat	6.15509163269667	4.31082990999533	6.79699867578293	5.55169127504779	6.76832915764659	6.64642808682212	4.73419623246215	9.28032062935777	6.28311007430485	6.05600255155806	4.55894396888438	3.91928147088103	6.68691587422094	6.11244510443678	5.0757842300131	8.91033568668866	1
Train.GSE164760_GSM5018337_Treat	7.44999001726838	4.8135950981109	5.69854524477468	5.69770842049251	6.22911776883547	6.20979673255449	3.50667743934473	4.50294683565527	5.3922501118496	7.22665577371682	4.29835863545843	5.0601464255561	7.08041211010821	6.75116386768929	5.44829617329242	8.89808069916507	1
Train.GSE164760_GSM5018338_Treat	6.87908959061795	4.92424908549406	5.55829230323816	5.20066260616988	5.97547315233024	4.39622392996732	3.82002331494023	4.10540750814203	7.45072775034952	8.08900654091841	4.93884696695791	4.49350919207437	8.08556397841674	7.53963941887472	5.48014926060298	8.76051595020226	1
Train.GSE164760_GSM5018339_Treat	6.40342603691319	6.58836679273272	5.78759196977943	5.29315774682394	8.72219817605306	5.58333317398152	4.42581631447887	4.91874786719356	6.67369756489405	7.78400180737906	4.66394415134651	6.18527503697761	5.61994592393962	6.52975298619033	7.00958573648471	9.72607182554572	1
Train.GSE164760_GSM5018340_Treat	6.54062711407291	5.15928967489566	5.77649574387067	5.31582251038749	8.38993107452196	4.48502415819839	4.39984495724352	3.47206039756906	5.47583277754789	7.05781240770167	4.67550841905228	5.00043310884164	5.5464211759709	6.99764550529056	6.35755536189705	9.27000775733998	1
Train.GSE164760_GSM5018341_Treat	6.12378380430423	4.77337655366017	5.45511503943822	5.46179169688388	7.8333940338623	4.50034560916476	3.28184687530725	3.7180352908662	6.03370279050563	6.756131176843	4.82662733118557	5.59067109646121	8.14181652898856	6.76940244368362	5.88930062249462	9.33022233717791	1
Train.GSE164760_GSM5018342_Treat	7.5260242090042	5.66374973304577	5.64412350085347	5.0491496526974	7.28175412339207	4.82162585837443	4.81101907127737	3.66798074848613	4.92541752216265	6.61249004342322	4.88435010164369	4.63007191420516	6.18551422632758	7.19988879278426	6.74319874573819	9.41263586321671	1
Train.GSE164760_GSM5018343_Treat	5.7663712686968	4.7443701592268	4.21012947955407	6.58342895342718	6.28809401448669	2.35448942121706	3.85898141164396	3.56091104975517	5.21471778168704	5.67883922622071	4.29488529513463	6.40224296474258	5.19389245105885	6.10341596480011	5.1122917110438	9.69571903936045	1
Train.GSE164760_GSM5018344_Treat	5.70925799218634	5.5523847569924	6.97850231239865	6.03380427653439	5.3450989436421	4.01933184571826	3.72483070595096	5.84620681593201	5.85342148196092	6.56791177585618	4.82974677379082	6.21458627856009	6.54998511427344	6.54795287098035	6.5341814554024	8.28503379296291	1
Train.GSE164760_GSM5018345_Treat	6.07831539460694	4.39925130297043	4.80656878945888	6.76308287129948	6.09233392263528	5.36580772433379	3.32412502336427	4.05413789421224	6.44905977707014	6.07128742008403	4.28921030048908	5.73259148001314	5.96301080567326	7.49206545784849	4.76236140650937	8.35100644120446	1
